name,size,price,item_id,image
CDV136573 - WHITE T BORN ALBUM PHOTO,S,45,CDV136573-S,https://upload-file-pdf.s3.ap-south-1.amazonaws.com/CDV_2024-08-21/page1_img1.png
CDV136573 - WHITE T BORN ALBUM PHOTO,M,45,CDV136573-M,https://upload-file-pdf.s3.ap-south-1.amazonaws.com/CDV_2024-08-21/page1_img1.png
CDV136573 - WHITE T BORN ALBUM PHOTO,L,45,CDV136573-L,https://upload-file-pdf.s3.ap-south-1.amazonaws.com/CDV_2024-08-21/page1_img1.png
CDV136573 - WHITE T BORN ALBUM PHOTO,XL,45,CDV136573-XL,https://upload-file-pdf.s3.ap-south-1.amazonaws.com/CDV_2024-08-21/page1_img1.png
CDV136573 - WHITE T BORN ALBUM PHOTO,2XL,45,CDV136573-2XL,https://upload-file-pdf.s3.ap-south-1.amazonaws.com/CDV_2024-08-21/page1_img1.png
CDV136530 - BLACK T BORN TO DO IT,S,45,CDV136530-S,https://upload-file-pdf.s3.ap-south-1.amazonaws.com/CDV_2024-08-21/page1_img3.png
CDV136530 - BLACK T BORN TO DO IT,M,45,CDV136530-M,https://upload-file-pdf.s3.ap-south-1.amazonaws.com/CDV_2024-08-21/page1_img3.png
CDV136530 - BLACK T BORN TO DO IT,L,45,CDV136530-L,https://upload-file-pdf.s3.ap-south-1.amazonaws.com/CDV_2024-08-21/page1_img3.png
CDV136530 - BLACK T BORN TO DO IT,XL,45,CDV136530-XL,https://upload-file-pdf.s3.ap-south-1.amazonaws.com/CDV_2024-08-21/page1_img3.png
CDV136530 - BLACK T BORN TO DO IT,2XL,45,CDV136530-2XL,https://upload-file-pdf.s3.ap-south-1.amazonaws.com/CDV_2024-08-21/page1_img3.png
CDV136531 - BLACK PULL HOODIE BORN TO DO IT,S,75,CDV136531-S,https://upload-file-pdf.s3.ap-south-1.amazonaws.com/CDV_2024-08-21/page1_img4.png
CDV136531 - BLACK PULL HOODIE BORN TO DO IT,M,75,CDV136531-M,https://upload-file-pdf.s3.ap-south-1.amazonaws.com/CDV_2024-08-21/page1_img4.png
CDV136531 - BLACK PULL HOODIE BORN TO DO IT,L,75,CDV136531-L,https://upload-file-pdf.s3.ap-south-1.amazonaws.com/CDV_2024-08-21/page1_img4.png
CDV136531 - BLACK PULL HOODIE BORN TO DO IT,XL,75,CDV136531-XL,https://upload-file-pdf.s3.ap-south-1.amazonaws.com/CDV_2024-08-21/page1_img4.png
CDV136531 - BLACK PULL HOODIE BORN TO DO IT,2XL,75,CDV136531-2XL,https://upload-file-pdf.s3.ap-south-1.amazonaws.com/CDV_2024-08-21/page1_img4.png
CDV136532 - BLACK HAT BORN TO DO IT,One-Size,35,CDV136532-OS,https://upload-file-pdf.s3.ap-south-1.amazonaws.com/CDV_2024-08-21/page1_img2.png
